latitude,longitude
8.4021338,78.0494374
8.4215563,78.0581902
8.4367723,78.0680955
8.5001599,78.1186797
8.5634799,78.1250181
9.0100074,78.2113864
8.7945686,78.1435156
8.5426091,78.1177717
8.7111785,78.1100893
8.6337554,78.073614
8.5200126,78.1166702
8.5263896,78.1176186
8.6222514,78.0703339
8.5895988,78.0833112
8.5231878,78.11731
8.6424511,78.0784194
8.5804878,78.0881535
8.7727431,78.1349745
8.7780723,78.1392509
8.6680102,78.0913858
8.7911354,78.1415886
8.5508548,78.1213376
8.6907224,78.1039739
8.4895259,78.113127
8.4926844,78.1173549
8.4851426,78.1097966
8.2857387,77.8898276
8.4821373,78.1053944
8.3660571,78.0153108
8.3123335,77.9302361
8.2967053,77.9079902
8.3367515,77.968238
8.3250756,77.9482541
8.3562503,77.9912634
8.3665135,78.0257875
8.9510085,78.1818955
8.9811336,78.1995921
8.809661,78.1480895
8.9245947,78.180063
8.9668831,78.1806279
8.8049875,78.1480289
8.8858621,78.1587218
8.9478624,78.1821584
8.9784578,78.1978551
8.9233393,78.1798414
8.9662128,78.180416
9.0008761,78.1967963
8.8290777,78.1474399
8.8819017,78.1579242
8.9466722,78.182162
8.9773896,78.1951295
8.7960874,78.1452459
8.7884057,78.141175
8.918436,78.1762428
8.9611609,78.180108
8.9999841,78.1969665
8.8793153,78.1570857
8.9450358,78.181344
8.9769842,78.1944825
8.7901061,78.1413324
8.9104799,78.1712278
8.9600306,78.1801633
8.9922512,78.196223
8.9413402,78.1805533
8.9742568,78.1928958
8.7830714,78.1406209
8.9037031,78.1673042
8.9566118,78.1814462
8.9917154,78.1963241
8.9389534,78.1801719
8.9711884,78.1882866
8.8136076,78.1485377
8.8995464,78.1645777
8.9552207,78.1819282
8.988255,78.1969896
9.0046078,78.1942769
8.9329509,78.1803542
8.9698839,78.182985
9.0019,78.1962356
8.7871145,78.1411061
8.8938232,78.1616668
8.7931441,78.1427646
8.4974778,78.1189807
8.4946632,78.1190266
8.5049678,78.1177014
8.4985784,78.1192651
8.4874366,78.1115947
8.4932492,78.1175036
8.4976917,78.119462
8.4983674,78.1193382
8.498764,78.1191643
8.5003954,78.1186515
8.4971314,78.1188806
8.5033415,78.1183103
8.4936105,78.1175865
8.5027679,78.1184481
8.3750987,78.0446634
8.4292029,78.0636627
8.3742901,78.0515046
8.4518169,78.0794634
8.3741046,78.0511582
8.4649275,78.0939787
8.4029879,78.0496129
8.4787838,78.1021149
8.3806794,78.0489382
8.3882662,78.0492419
8.4133693,78.0554233
8.3887746,78.0491039
8.4001977,78.0484794
8.3784783,78.0520129
8.4234407,78.0593655
8.445696,78.075147
8.4099959,78.0522438
8.3834803,78.0493079
8.4317743,78.0649997
8.3961126,78.0469814
8.383336,78.0491786
8.4430731,78.0729895
8.4280411,78.0623927
8.4502489,78.0780596
8.3741913,78.0504899
8.4630479,78.0917154
8.4776504,78.1013796
8.3792509,78.0505441
8.3876084,78.0494105
8.4128801,78.0551053
8.3750833,78.0476557
8.3757407,78.0524813
8.4696502,78.0975788
8.4095797,78.0518372
8.3823927,78.0478419
8.3949778,78.0471434
8.4197551,78.0572645
8.3824378,78.0478996
8.3745248,78.0438039
8.4275121,78.0618101
8.4498428,78.0776967
8.3746422,78.0489354
8.4615649,78.090178
8.4751212,78.1001872
8.3753063,78.0466121
8.4545184,78.0824619
8.3755887,78.0524775
8.4688096,78.0969295
8.4067475,78.0505246
8.381935,78.0475965
8.3919206,78.0478046
8.4179529,78.0566438
8.4403543,78.0707893
8.4265863,78.0610939
8.4472168,78.0759492
8.3862437,78.049302
8.4340395,78.066753
8.4588918,78.0872845
8.399215,78.0478901
8.4729467,78.0991927
8.3751162,78.0454643
8.4297792,78.0639912
8.3741334,78.0508162
8.4529693,78.0806475
8.3744082,78.0516082
8.465522,78.0944705
8.405641,78.0500321
8.4794261,78.102726
8.3816378,78.0477869
8.3898546,78.0486132
8.4018961,78.0493435
8.4164044,78.0562794
8.4386115,78.0693791
8.4013096,78.0490338
8.3786634,78.0516332
8.44648,78.0754526
8.3839637,78.049316
8.4323203,78.0654065
8.4559636,78.0841236
8.3966342,78.0469905
8.4710764,78.0982898
8.4452237,78.0748892
8.3822388,78.0476716
8.405182,78.0499463
8.4288352,78.06338
8.4889182,78.112588
8.4913243,78.1153863
8.4925327,78.1171876
8.4929096,78.1174325
8.5040966,78.1179106
8.3981181,78.0474781
8.4032617,78.0496545
8.4059966,78.0501963
8.4106886,78.052931
8.4155476,78.0560556
8.4892442,78.1128307
8.619981,78.0704807
8.6946772,78.1051396
8.2787661,77.8919371
8.277088,77.8904408
8.2838618,77.8892736
8.2772571,77.8905907
8.2794717,77.8911189
8.2807457,77.8900782
8.2822002,77.8897135
8.7948923,78.1437433
8.7949811,78.143829
8.7976136,78.1478204
8.8014819,78.1471367
8.8024441,78.1471927
8.8060223,78.1481374
8.8170138,78.148018
8.8291958,78.1474019
9.0033274,78.1943216
8.789012,78.1411914
8.7768924,78.1388828
8.7744563,78.1361389
8.7711396,78.1342445
8.7716483,78.134387
8.7763119,78.138569
8.7906025,78.1414562
8.7900805,78.1413281
8.7231555,78.1141782
8.7708774,78.1341992
8.7965161,78.1459943
8.5072311,78.1175409
8.5090955,78.1179437
8.5293318,78.1170517
8.2991204,77.911009
8.2909113,77.9063621
8.3214862,77.9389563
8.3026387,77.9151691
8.287344,77.8953812
8.3205971,77.9357645
8.2862382,77.891829
8.2866161,77.8987647
8.3114184,77.9291262
8.3148008,77.9318874
8.3074801,77.9231852
8.3140683,77.9309499
8.2872362,77.9011781
8.3132353,77.9308106
8.2902079,77.9066183
8.3036521,77.916794
8.2934911,77.905992
8.3186458,77.9341344
8.288553,77.9035954
8.3162247,77.9339929
8.3150357,77.9322065
8.3205401,77.9342182
8.3204551,77.9363962
8.2899047,77.9065195
8.3009077,77.9132105
8.2984438,77.909975
8.3106031,77.9278254
8.3203914,77.9341176
8.3160031,77.9336616
8.3120256,77.9297995
8.2876507,77.9020177
8.3048189,77.9184133
8.2872611,77.8939067
8.3153316,77.9323447
8.2887506,77.9042541
8.3216813,77.9391776
8.3016068,77.9139658
8.2866527,77.8972702
8.3058141,77.9205989
8.2878291,77.8943264
8.2864456,77.8938094
8.2860041,77.8911376
8.3145513,77.9313107
8.2930505,77.9058525
8.3173942,77.9341141
8.287287,77.8958666
8.2962795,77.9077222
8.2868915,77.8967491
8.2862752,77.8920516
8.2786425,77.8920834
8.3062371,77.9211332
8.2856282,77.8890674
8.308913,77.9256045
8.3158544,77.9331909
8.297191,77.9084462
8.305503,77.9200883
8.2905443,77.9065801
8.3206343,77.9349625
8.286155,77.8934386
8.2877501,77.8941641
8.307972,77.9239011
8.2865493,77.8978559
8.3099103,77.9268936
8.3364324,77.9728749
8.3224814,77.9407118
8.3369046,77.9694704
8.336232,77.9724028
8.3365505,77.9703925
8.326445,77.9517785
8.3324203,77.9616759
8.3301854,77.9579111
8.3289498,77.9561929
8.3369891,77.9687537
8.323454,77.9431552
8.336865,77.9684164
8.3242587,77.9446326
8.3313376,77.9598319
8.3336095,77.9632262
8.3672386,78.0274522
8.5932721,78.0801817
8.609727,78.071868
8.5636815,78.1242665
8.583751,78.0852919
8.6177905,78.0699577
8.6159538,78.0704523
8.5583806,78.1232591
8.6062425,78.0724709
8.6081475,78.0719742
8.3707791,78.0344495
8.5672197,78.1058833
8.6117717,78.0710719
8.3699565,78.0329773
8.4857327,78.1103657
8.5969161,78.075549
8.5967543,78.077013
8.3686217,78.0297707
8.5213298,78.1169495
8.5747102,78.0927023
8.55535,78.1220381
8.5678079,78.1030557
8.563558,78.1216125
8.5663975,78.1107503
8.3736438,78.0404913
8.3739545,78.0414045
8.588313,78.0837361
8.6183246,78.0701621
8.576902,78.0909728
8.5651933,78.1158642
8.6018028,78.0728438
8.5637669,78.1205656
8.6169684,78.0700478
8.6073492,78.0723615
8.5921662,78.0825421
8.6151232,78.0706658
8.632719,78.0721619
8.6190422,78.0703751
8.6000959,78.0727134
8.5328838,78.1171206
8.5965422,78.0776605
8.5985249,78.0723722
8.3731536,78.0389417
8.3740313,78.0419612
8.5152718,78.117296
8.5355677,78.1173877
8.5484352,78.1202067
8.5283544,78.1173797
8.5824647,78.0859968
8.5760554,78.0920049
8.5164082,78.1169361
8.5856908,78.0847072
8.6128913,78.0708316
8.5118,78.1179301
8.6037786,78.0725142
8.605452,78.072648
8.5654626,78.1143123
8.5989269,78.0722542
8.5207314,78.1167172
8.3777184,78.0523329
8.6313743,78.0693745
8.623921,78.0702129
8.6368336,78.0750141
8.6222969,78.0703306
8.8358273,78.1441216
8.8379394,78.143091
8.8393951,78.1430077
8.8436289,78.1425861
8.3647997,78.0092962
8.3663278,78.0229309
8.3597471,77.9969677
8.3636281,78.0033177
8.3643322,78.0048716
8.347672,77.9774541
8.3385615,77.9751527
8.3666807,78.0219224
8.3399096,77.9747987
8.3384075,77.9751078
8.4602565,78.0887617
8.5674572,78.1045917
8.3419849,77.9750937
8.37081,78.0345079
8.5692246,78.0980768
8.5814434,78.0872133
8.3542375,77.9829888
8.3670602,78.0180117
8.3457109,77.9768693
8.5821459,78.0863565
8.3510291,77.9815525
8.5640686,78.1231034
8.5915196,78.0828005
8.5911293,78.0829564
8.65454,78.0865707
8.6651699,78.0886682
8.6467514,78.082631
8.6648665,78.0886209
8.5960277,78.0780571
8.6639872,78.0888774
8.6454171,78.0818135
8.6562784,78.0872766
8.6518936,78.0850772
8.6613112,78.0883055
8.5909435,78.0830306
8.7026392,78.1070338
8.6797989,78.0988091
8.6745087,78.0959294
8.6754335,78.0966783
8.7054333,78.107913
8.6724542,78.0950679
8.7073257,78.1085637
8.670875,78.0939993
8.6896363,78.1036842
8.7018651,78.1066368
8.6666293,78.0899191
8.681689,78.1001507
8.6710601,78.0929889
8.6873938,78.1024762
8.574808,78.0926452
8.5789853,78.0893377
8.6667157,78.0900109
9.0124303,78.2162068
8.8743613,78.1544058
9.0053217,78.196962
9.0093044,78.2076581
9.0119688,78.2145717
8.8733195,78.1529152
9.0098379,78.2109883
8.8734501,78.1532758
9.00277,78.1946842
8.875637,78.1551415
9.0096975,78.210292
9.0030237,78.1944128
9.0090331,78.2063883
9.0054693,78.1975724
8.87315,78.1529247
9.0064573,78.2001672
9.0025783,78.1951893
9.0023101,78.1957759
9.0122205,78.2153271
8.8802837,78.157438
9.0081806,78.2040001
9.0076571,78.2021869
9.0052392,78.1960898
9.0117039,78.2139849
9.004972,78.1950791
9.0045073,78.1942878
9.0074389,78.201599
8.8737143,78.1537597
8.87285,78.152858
9.0050909,78.195529
9.0131487,78.2178049
8.9798391,78.1993937
8.927582,78.1800453
8.9735623,78.1921952
8.9225014,78.1793404
8.9655054,78.1803728
8.9789161,78.1986684
8.8941082,78.1618025
8.9793474,78.199097
