latitude,longitude,
17.39868765,78.45000543,
17.39868765,78.45000543,
17.39868749,78.44994724,
17.39877376,78.44858667,
17.39877376,78.44858667,
17.39880221,78.44826496,
17.39880221,78.44826496,
17.39876959,78.44700309,
17.39876959,78.44700309,
17.39864598,78.44470785,
17.39864598,78.44470785,
17.39864598,78.44470785,
17.39862687,78.44463206,
17.39853767,78.44445933,
17.394101,78.442221,
17.39436737,78.4415971,
17.39431204,78.44161172,
17.39429415,78.44157947,
17.39428643,78.44156771,
17.39428643,78.44156771,
17.39428012,78.44152552,
17.3942242,78.44146605,
17.3942242,78.44146605,
17.39423942,78.44142208,
17.39430994,78.4413055,
17.3921065,78.425471,
17.3921065,78.425471,
17.394877,78.440063,
17.3948758,78.44008536,
17.3948758,78.44008536,
17.3948,78.438154,
17.3948,78.438154,
17.39484941,78.43854821,
17.39484941,78.43854821,
17.39487741,78.43751114,
17.3921065,78.425471,
17.3921065,78.425471,
17.3921065,78.425471,
17.3921065,78.425471,
17.3921065,78.425471,
17.39514418,78.42799433,
17.395327,78.42835192,
17.395327,78.42835192,
17.39609188,78.42960621,
17.39606624,78.42959764,
17.39606624,78.42959764,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608464,78.42975342,
17.39608403,78.42986528,
17.39608403,78.42986528,
17.39609564,78.42987887,
17.39609564,78.42987887,
17.396097,78.429858,
17.39609157,78.42985049,
17.3921065,78.425471,
17.39234225,78.4250615,
17.39239303,78.42427,
17.39239303,78.42427,
17.39236656,78.42423011,
17.39232952,78.42421189,
17.39232952,78.42421189,
17.39232952,78.42421189,
17.39232952,78.42421189,
17.39174617,78.42416583,
17.391034,78.42326,
17.391034,78.42326,
17.37963386,78.42068856,
17.37963386,78.42068856,
17.37943759,78.42068743,
17.37936789,78.42069934,
17.37868908,78.4207373,
