latitude,longitude
17.41279,78.35495
17.41303,78.355
17.41535,78.35546
17.41575,78.35556
17.416,78.35562
17.41886,78.35622
17.41911,78.35628
17.41936,78.35634
17.42028,78.35658
17.42076,78.3567
17.42093,78.35674
17.42138,78.35686
17.42197,78.357
17.4224,78.35711
17.42513,78.35781
17.42653,78.35818
17.42709,78.35832
17.42769,78.35848
17.42851,78.35869
17.42943,78.35894
17.42986,78.35905
17.43032,78.35916
17.43079,78.35929
17.43104,78.35936
17.43157,78.35952
17.43208,78.35968
17.43252,78.35985
17.43261,78.35989
17.43283,78.35998
17.43289,78.36001
17.43294,78.36002
17.43308,78.36004
17.43323,78.36011
17.43356,78.36026
17.43378,78.36037
17.43394,78.36045
17.434,78.36048
17.43418,78.36059
17.43457,78.36078
17.43463,78.36081
17.43506,78.36105
17.43536,78.36128
17.43542,78.36127
17.43545,78.36128
17.43556,78.36136
17.43564,78.3614
17.4357,78.36145
17.43571,78.36146
17.43584,78.36155
17.43587,78.36156
17.43606,78.36169
17.43633,78.36188
17.43637,78.3619
17.43673,78.36215
17.43713,78.36242
17.43714,78.36243
17.43739,78.3626
17.43751,78.36268
17.43754,78.3627
17.43756,78.36271
17.43769,78.3628
17.4377,78.36281
17.43773,78.36283
17.43779,78.36288
17.43783,78.36292
17.43783,78.36293
17.43789,78.36298
17.43795,78.36307
17.43796,78.36308
17.43799,78.36313
17.438,78.36316
17.43808,78.36329
17.43809,78.36332
17.43813,78.36345
17.43813,78.36347
17.43814,78.36353
17.43815,78.36362
17.43815,78.36365
17.43815,78.36369
17.43816,78.36376
17.43815,78.36384
17.43815,78.36389
17.43814,78.364
17.43813,78.36407
17.43812,78.36409
17.43809,78.36421
17.43807,78.36429
17.43807,78.36435
17.43806,78.36449
17.43808,78.3646
17.43809,78.36468
17.43809,78.3647
17.43813,78.36484
17.43814,78.36488
17.43817,78.36493
17.4382,78.36498
17.43827,78.3651
17.43836,78.36521
17.43841,78.36527
17.43876,78.36559
17.43887,78.36568
17.43918,78.36595
17.43928,78.36604
17.43931,78.36607
17.43959,78.36632
17.43986,78.36657
17.43989,78.3666
17.44004,78.36671
17.44018,78.36682
17.44029,78.3669
17.44033,78.36693
17.44047,78.36704
17.44048,78.36705
17.44056,78.36711
17.44062,78.36715
17.44063,78.36716
17.44069,78.36721
17.44074,78.36726
17.44075,78.36728
17.44079,78.36733
17.44083,78.36739
17.44088,78.36746
17.44091,78.36754
17.44095,78.36766
17.44096,78.36774
17.44097,78.36782
17.44097,78.3679
17.44097,78.36798
17.44095,78.36805
17.44095,78.36806
17.44092,78.36817
17.44083,78.36841
17.44077,78.36858
17.44075,78.36863
17.44063,78.36893
17.44056,78.36915
17.44053,78.36925
17.44052,78.36927
17.44046,78.36942
17.44039,78.36968
17.44036,78.36977
17.44036,78.36978
17.44034,78.36986
17.44022,78.37051
17.44021,78.37052
17.4402,78.37057
17.44018,78.37069
17.44017,78.37075
17.44014,78.37088
17.44014,78.37089
17.4401,78.37104
17.44007,78.37121
17.44006,78.37124
17.44006,78.37125
17.44001,78.37143
17.43994,78.37167
17.43999,78.37167
17.44024,78.37171
17.44111,78.37176
17.44156,78.37179
17.44199,78.37183
17.44213,78.37182
17.44225,78.37183
17.44214,78.37213
17.442,78.3725
17.44182,78.3731
17.44177,78.37324
17.44165,78.37357
17.44164,78.37362
17.44161,78.37371
17.44154,78.37389
17.44128,78.37438
17.44119,78.37454
17.44112,78.37466
17.4411,78.37468
17.44105,78.37478
17.44097,78.37492
17.44093,78.37499
17.44082,78.37517
17.4406,78.37549
17.44051,78.37562
17.44046,78.37569
17.44042,78.37573
17.44039,78.37577
17.44037,78.3758
17.44025,78.37596
17.4402,78.37603
17.44017,78.37607
17.44014,78.37611
17.4401,78.37616
17.43996,78.37634
17.4399,78.37642
17.43987,78.37648
17.43986,78.37649
17.43985,78.37652
17.43983,78.37657
17.43978,78.37671
17.43976,78.37684
17.43975,78.37686
17.43975,78.37688
17.43974,78.37694
17.43974,78.37698
17.43972,78.37706
17.43971,78.37713
17.4397,78.37719
17.43968,78.37725
17.43965,78.37731
17.43961,78.37742
17.4396,78.37745
17.43958,78.37749
17.43953,78.37759
17.43951,78.37763
17.43946,78.37771
17.43929,78.37795
17.43927,78.37797
17.43896,78.37833
17.43896,78.37834
17.43884,78.37849
17.43876,78.37858
17.43873,78.37861
